alendronate;0;0;0;0;0;1;0;0;0;0;0;0;0
antidepressants;0;0;0;0;0;0;0;0;0;0;1;0;0
bisphosphonates;0;0;0;0;0;0;0;1;0;0;0;0;0
calcimemetics;0;0;0;0;0;0;0;1;0;0;0;0;0
chemotherapy;0;0;0;0;0;0;1;0;0;0;0;0;0
clonidine;0;0;0;0;0;0;0;0;0;0;1;0;0
diet;1;1;0;1;0;0;0;0;1;1;0;0;0
electrolyte_replacment;0;0;0;1;0;0;0;0;0;0;0;0;0
exercise;1;1;0;1;0;0;0;0;0;0;0;0;0
fludrocortisone_acetate;0;0;0;0;0;0;0;0;0;0;0;1;0
fluid_replacement;0;0;0;1;0;0;0;0;0;0;0;0;0
gabapentin;0;0;0;0;0;0;0;0;0;0;1;0;0
glucagon;0;0;1;0;0;0;0;0;0;0;0;0;0
glucagon_injection;0;0;0;0;1;0;0;0;0;0;0;0;0
hormone_replacement;0;0;0;0;0;0;0;1;0;0;0;0;0
hormone_therapy;0;0;0;0;0;0;0;0;0;0;1;0;0
hydrocortisone;0;0;0;0;0;0;0;0;0;0;0;1;0
ibandronate;0;0;0;0;0;1;0;0;0;0;0;0;0
injecting_alcohol;0;0;0;0;0;0;1;0;0;0;0;0;0
insulin_therapy;1;1;0;1;0;0;0;0;0;0;0;0;0
intravenous_fluids;0;0;0;0;1;0;0;0;0;0;0;0;0
intravenous_injections;0;0;0;0;0;0;0;0;0;0;0;1;0
meglitinides;0;1;0;0;0;0;0;0;0;0;0;0;0
metformin;0;1;0;0;0;0;0;0;0;0;0;0;0
methylprednisolone;0;0;0;0;0;0;0;0;0;0;0;1;0
mifepristone;0;0;0;0;0;0;0;0;0;0;0;0;1
phosphate;0;0;0;0;1;0;0;0;0;0;0;0;0
potassium;0;0;0;0;1;0;0;0;0;0;0;0;0
prednisone;0;0;0;0;0;0;0;0;0;0;0;1;0
pure_glucose_food;0;0;1;0;0;0;0;0;0;0;0;0;0
pure_glucose_tablets;0;0;1;0;0;0;0;0;0;0;0;0;0
radiation_therapy;0;0;0;0;0;0;1;0;0;0;0;0;1
radioactive_iodine;0;0;0;0;0;0;1;0;0;0;0;0;0
reducing_corticosteroid_drug;0;0;0;0;0;0;0;0;0;0;0;0;1
risedronate;0;0;0;0;0;1;0;0;0;0;0;0;0
sodium;0;0;0;0;1;0;0;0;0;0;0;0;0
sulfonylureas;0;1;0;0;0;0;0;0;0;0;0;0;0
surgery;0;0;0;0;0;0;1;1;0;0;0;0;1
testosterone_injections;0;0;0;0;0;0;0;0;0;1;0;0;0
testosterone_replacement_drug;0;0;0;0;0;0;0;0;0;1;0;0;0
testosterone_replacement_gel;0;0;0;0;0;0;0;0;0;1;0;0;0
thiayolidinediones;0;1;0;0;0;0;0;0;0;0;0;0;0
thyroid_hormone_drug;0;0;0;0;0;0;1;0;0;0;0;0;0
vaginal_estrogen;0;0;0;0;0;0;0;0;0;0;1;0;0
zoledronic_acid;0;0;0;0;0;1;0;0;0;0;0;0;0
vitamin_d;0;0;0;0;0;0;0;0;1;0;0;0;0
